epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,19622.9,0.52151,0.4411,0.10369,0.83651,0.74123,0.7971,0.56738,0.59443,0.49054,0.10619,0.007228,0.007228,0.007228
44,20083.8,0.5376,0.44589,0.10602,0.84046,0.73558,0.79089,0.56236,0.60927,0.48829,0.10706,0.007162,0.007162,0.007162
45,20540.8,0.5402,0.44095,0.10671,0.8367,0.74265,0.79446,0.56467,0.59907,0.4888,0.10602,0.007096,0.007096,0.007096
46,20997.1,0.53487,0.44329,0.10532,0.84484,0.74208,0.79741,0.56519,0.59493,0.47496,0.10837,0.00703,0.00703,0.00703
47,21448.2,0.53326,0.43775,0.10139,0.84759,0.74708,0.8016,0.57079,0.58603,0.4775,0.1072,0.006964,0.006964,0.006964
48,21908.5,0.52297,0.43861,0.1024,0.84203,0.75318,0.80311,0.57152,0.58403,0.47947,0.10355,0.006898,0.006898,0.006898
49,22364.5,0.5453,0.44252,0.1068,0.83784,0.74949,0.79992,0.5673,0.58196,0.48271,0.10418,0.006832,0.006832,0.006832
50,22821.8,0.52523,0.43673,0.10072,0.85216,0.75124,0.80658,0.57615,0.57569,0.48258,0.10403,0.006766,0.006766,0.006766
51,23283.4,0.50548,0.43445,0.09999,0.84813,0.75423,0.80719,0.57783,0.5749,0.4785,0.10428,0.0067,0.0067,0.0067
52,23746.2,0.47854,0.43318,0.09559,0.83789,0.75886,0.80764,0.58151,0.56491,0.48543,0.10293,0.006634,0.006634,0.006634
53,24208.2,0.53018,0.43654,0.10219,0.84271,0.75465,0.80645,0.578,0.57577,0.48227,0.10628,0.006568,0.006568,0.006568
54,24658,0.50789,0.43145,0.09857,0.84444,0.75635,0.80703,0.57872,0.57619,0.47741,0.10438,0.006502,0.006502,0.006502
55,25114.3,0.53139,0.44063,0.10185,0.84298,0.75588,0.80469,0.57853,0.57996,0.47716,0.10602,0.006436,0.006436,0.006436
56,25567.4,0.49467,0.43054,0.09323,0.84659,0.75968,0.80833,0.58089,0.56996,0.48045,0.10405,0.00637,0.00637,0.00637
57,26018.1,0.5314,0.44328,0.10267,0.84696,0.75587,0.80825,0.58155,0.57701,0.47817,0.10393,0.006304,0.006304,0.006304
58,26479.4,0.52136,0.44142,0.10114,0.84326,0.75771,0.80655,0.58031,0.57355,0.48319,0.10298,0.006238,0.006238,0.006238
59,26928.4,0.52952,0.44111,0.1048,0.84655,0.75377,0.8037,0.5765,0.58601,0.48028,0.10445,0.006172,0.006172,0.006172
60,27380.2,0.54901,0.44539,0.10468,0.84503,0.75923,0.80574,0.58003,0.57831,0.4808,0.10586,0.006106,0.006106,0.006106
61,27824.3,0.48814,0.42843,0.09325,0.84618,0.75975,0.80727,0.58084,0.57883,0.48383,0.10629,0.00604,0.00604,0.00604
62,28275.1,0.53081,0.44224,0.10408,0.85078,0.75849,0.80901,0.58252,0.57666,0.48271,0.10538,0.005974,0.005974,0.005974
63,28730.4,0.55036,0.44745,0.10544,0.8437,0.76374,0.81136,0.5838,0.57398,0.47803,0.10574,0.005908,0.005908,0.005908
64,29180.1,0.47409,0.42709,0.09288,0.84475,0.76092,0.81203,0.58583,0.57484,0.47767,0.10702,0.005842,0.005842,0.005842
65,29632.4,0.50434,0.43011,0.09743,0.84603,0.76399,0.81185,0.58482,0.57617,0.47814,0.10597,0.005776,0.005776,0.005776
66,30086.8,0.5179,0.42419,0.0992,0.8459,0.76326,0.81138,0.58745,0.56732,0.47735,0.10634,0.00571,0.00571,0.00571
67,30547.8,0.49783,0.4282,0.09577,0.8459,0.7687,0.81481,0.58693,0.5611,0.47541,0.10599,0.005644,0.005644,0.005644
68,31000,0.55071,0.43881,0.10569,0.84922,0.76567,0.81141,0.58443,0.57764,0.4734,0.10735,0.005578,0.005578,0.005578
69,31451.3,0.46089,0.42232,0.08982,0.85025,0.76526,0.81197,0.58783,0.56938,0.47321,0.10663,0.005512,0.005512,0.005512
70,31908.7,0.56032,0.43849,0.10702,0.84959,0.76124,0.81018,0.58636,0.57127,0.47434,0.10709,0.005446,0.005446,0.005446
71,32363.5,0.61603,0.43621,0.11394,0.84792,0.75989,0.80757,0.58134,0.5876,0.47234,0.10788,0.00538,0.00538,0.00538
72,32813.7,0.47756,0.41906,0.08906,0.84897,0.76254,0.80923,0.58507,0.57695,0.47207,0.10771,0.005314,0.005314,0.005314
73,33261.9,0.47461,0.42067,0.09278,0.84675,0.76477,0.81013,0.58651,0.57001,0.47249,0.10645,0.005248,0.005248,0.005248
74,33716.6,0.51878,0.43874,0.10069,0.84932,0.76281,0.81083,0.58588,0.57322,0.47326,0.10664,0.005182,0.005182,0.005182
75,34173,0.45839,0.41541,0.09076,0.84647,0.76825,0.81273,0.58881,0.56702,0.47302,0.10626,0.005116,0.005116,0.005116
76,34634.4,0.55059,0.43905,0.10442,0.84909,0.76321,0.81176,0.58724,0.571,0.47261,0.10633,0.00505,0.00505,0.00505
77,35087.9,0.47128,0.42379,0.08878,0.84756,0.76455,0.81161,0.58798,0.56629,0.47468,0.10698,0.004984,0.004984,0.004984
78,35545.6,0.48128,0.42543,0.0917,0.8492,0.76473,0.81238,0.58827,0.56426,0.47371,0.10728,0.004918,0.004918,0.004918
