epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.29,1.05772,1.7288,1.17172,0.66788,0.48848,0.54079,0.3784,1.10264,1.09526,1.02544,0.00332928,0.00332928,0.00332928
2,753.979,0.99302,0.91924,1.09304,0.68487,0.54427,0.58704,0.40094,1.1263,0.9674,1.04343,0.00661864,0.00661864,0.00661864
3,1129.25,1.07952,0.98556,1.13903,0.60706,0.48056,0.49371,0.31719,1.24963,1.19166,1.103,0.009864,0.009864,0.009864
4,1501.4,1.15242,1.06504,1.18184,0.65745,0.50031,0.52615,0.34233,1.24343,1.11266,1.10931,0.009802,0.009802,0.009802
5,1872.86,1.12401,1.00091,1.17725,0.71156,0.53078,0.57923,0.38767,1.19969,1.02009,1.08984,0.009736,0.009736,0.009736
6,2243.65,1.08342,0.93324,1.15888,0.74408,0.56205,0.60765,0.41146,1.15316,0.91598,1.07551,0.00967,0.00967,0.00967
7,2616.57,1.04627,0.86518,1.14056,0.74864,0.56138,0.619,0.41748,1.15852,0.94528,1.07108,0.009604,0.009604,0.009604
8,2990.14,1.02467,0.83816,1.1297,0.71676,0.59344,0.63003,0.43328,1.1245,0.86414,1.0571,0.009538,0.009538,0.009538
9,3363.1,1.00966,0.80833,1.12007,0.78317,0.61014,0.67437,0.46883,1.10281,0.82409,1.04314,0.009472,0.009472,0.009472
10,3735.79,0.99533,0.77875,1.10969,0.77285,0.59366,0.65937,0.45622,1.09538,0.85011,1.04864,0.009406,0.009406,0.009406
11,4106.41,0.97763,0.75296,1.09775,0.78339,0.62885,0.68561,0.47653,1.09033,0.79281,1.03866,0.00934,0.00934,0.00934
12,4479.75,0.97087,0.7323,1.09134,0.79462,0.62274,0.68648,0.4802,1.08102,0.78731,1.02784,0.009274,0.009274,0.009274
13,4853.23,0.94809,0.70272,1.0753,0.80302,0.64459,0.71017,0.49857,1.07455,0.77748,1.02148,0.009208,0.009208,0.009208
14,5225.61,0.94683,0.70259,1.07932,0.78576,0.64059,0.70889,0.49977,1.08146,0.77084,1.03064,0.009142,0.009142,0.009142
15,5598.44,0.92856,0.67566,1.06632,0.81242,0.66331,0.73194,0.52021,1.05232,0.71707,1.01855,0.009076,0.009076,0.009076
16,5970.31,0.92828,0.67866,1.06426,0.81784,0.6568,0.725,0.51362,1.05271,0.75016,1.01176,0.00901,0.00901,0.00901
17,6341.47,0.92338,0.66317,1.06449,0.80771,0.66626,0.73302,0.51582,1.05627,0.71017,1.01674,0.008944,0.008944,0.008944
18,6711.95,0.91726,0.65151,1.06207,0.79888,0.6626,0.73505,0.52439,1.04698,0.74791,1.01574,0.008878,0.008878,0.008878
19,7084.6,0.90902,0.64859,1.06068,0.80541,0.66881,0.73796,0.52745,1.03891,0.73311,1.00883,0.008812,0.008812,0.008812
20,7456.54,0.89505,0.62786,1.04937,0.81623,0.68755,0.75276,0.53812,1.02481,0.70391,1.00605,0.008746,0.008746,0.008746
21,7828.75,0.88329,0.61461,1.043,0.82979,0.69535,0.76332,0.5461,1.03237,0.69038,1.00572,0.00868,0.00868,0.00868
22,8201.59,0.89525,0.62062,1.05283,0.82657,0.68914,0.75815,0.54452,1.02971,0.68395,1.00431,0.008614,0.008614,0.008614
23,8571.95,0.88193,0.60913,1.04091,0.84011,0.69743,0.77093,0.55468,1.02236,0.67034,1.00014,0.008548,0.008548,0.008548
24,8944.12,0.88257,0.59644,1.03473,0.828,0.69634,0.76773,0.55518,1.01357,0.67897,0.99278,0.008482,0.008482,0.008482
25,9315.97,0.8718,0.59525,1.03704,0.8297,0.70009,0.77096,0.55739,1.01624,0.6681,0.99661,0.008416,0.008416,0.008416
26,9687.75,0.86472,0.58288,1.03072,0.83938,0.70494,0.78125,0.56389,1.01417,0.64249,0.99263,0.00835,0.00835,0.00835
27,10060.3,0.87359,0.58622,1.02919,0.84444,0.71297,0.78743,0.57217,1.01148,0.65441,0.98992,0.008284,0.008284,0.008284
28,10432.5,0.8587,0.57939,1.02872,0.84035,0.70958,0.78309,0.56803,1.00311,0.64961,0.99379,0.008218,0.008218,0.008218
29,10803.5,0.84955,0.56839,1.02564,0.84352,0.71667,0.78834,0.57334,1.00053,0.65047,0.99054,0.008152,0.008152,0.008152
30,11175.8,0.85072,0.56027,1.02557,0.84483,0.71024,0.78571,0.57011,1.00505,0.63499,0.99074,0.008086,0.008086,0.008086
31,11545.9,0.84922,0.56294,1.02286,0.84811,0.71937,0.78907,0.57505,1.00036,0.64541,0.99212,0.00802,0.00802,0.00802
32,11918.6,0.84208,0.54953,1.01732,0.84014,0.71999,0.79321,0.57727,0.99641,0.6308,0.98257,0.007954,0.007954,0.007954
33,12291.3,0.83761,0.55428,1.01448,0.84699,0.72169,0.7961,0.581,0.99384,0.62061,0.98302,0.007888,0.007888,0.007888
34,12664.5,0.83302,0.54116,1.01486,0.84195,0.72589,0.79883,0.58524,0.99251,0.63082,0.98494,0.007822,0.007822,0.007822
35,13038.3,0.83278,0.54087,1.01555,0.83516,0.73235,0.79806,0.58412,0.98905,0.61304,0.98451,0.007756,0.007756,0.007756
36,13409.3,0.83386,0.53899,1.01282,0.84904,0.72559,0.79812,0.58708,0.98886,0.61769,0.98552,0.00769,0.00769,0.00769
37,13782.5,0.81906,0.52589,1.00519,0.84884,0.73145,0.80339,0.59158,0.98659,0.61044,0.98475,0.007624,0.007624,0.007624
38,14156.2,0.82518,0.5299,1.00649,0.8576,0.73198,0.81039,0.59639,0.98134,0.60439,0.97939,0.007558,0.007558,0.007558
39,14529.3,0.82576,0.5279,1.00395,0.85157,0.7331,0.80756,0.59612,0.97824,0.61333,0.97765,0.007492,0.007492,0.007492
40,14899.5,0.82025,0.52601,1.00313,0.84802,0.73505,0.80831,0.59622,0.97645,0.60777,0.9791,0.007426,0.007426,0.007426
41,15269.7,0.8183,0.51721,1.00568,0.85192,0.73537,0.8089,0.59761,0.9742,0.61072,0.97865,0.00736,0.00736,0.00736
42,15641.7,0.80295,0.51017,0.99903,0.8559,0.73288,0.81027,0.59858,0.97653,0.60778,0.98007,0.007294,0.007294,0.007294
43,16013.7,0.81142,0.51137,0.99589,0.85535,0.73664,0.81039,0.60056,0.97154,0.59223,0.97683,0.007228,0.007228,0.007228
44,16385.6,0.80611,0.50282,0.99115,0.86236,0.73959,0.81553,0.60424,0.97492,0.59016,0.97578,0.007162,0.007162,0.007162
45,16757.8,0.79932,0.50114,0.99255,0.85638,0.74623,0.81618,0.60491,0.97299,0.59175,0.97805,0.007096,0.007096,0.007096
46,17130.1,0.8045,0.49912,0.99507,0.84851,0.74424,0.81302,0.60282,0.97059,0.6128,0.97768,0.00703,0.00703,0.00703
47,17501.9,0.79045,0.49757,0.99278,0.85886,0.74147,0.81333,0.60231,0.97034,0.61025,0.97865,0.006964,0.006964,0.006964
48,17873.2,0.79244,0.49125,0.98894,0.85508,0.74358,0.81645,0.60473,0.96846,0.60235,0.97956,0.006898,0.006898,0.006898
49,18244.1,0.79582,0.49351,0.99405,0.85459,0.74998,0.82163,0.61063,0.96362,0.59637,0.97835,0.006832,0.006832,0.006832
50,18617.5,0.78269,0.48124,0.98629,0.85688,0.74728,0.81756,0.60824,0.96514,0.60532,0.97712,0.006766,0.006766,0.006766
51,18988.4,0.78089,0.48381,0.98834,0.86168,0.75114,0.82219,0.61151,0.967,0.57772,0.97663,0.0067,0.0067,0.0067
52,19360.3,0.77753,0.48034,0.98431,0.85919,0.74984,0.82161,0.61093,0.96526,0.5895,0.97456,0.006634,0.006634,0.006634
53,19730.5,0.77379,0.4765,0.98358,0.85875,0.75569,0.82563,0.61403,0.968,0.57876,0.97731,0.006568,0.006568,0.006568
54,20103.3,0.77335,0.47453,0.98774,0.86109,0.75199,0.8243,0.61429,0.96425,0.58075,0.97688,0.006502,0.006502,0.006502
55,20475.5,0.77433,0.47435,0.98072,0.86289,0.75202,0.82387,0.61347,0.9638,0.58275,0.97609,0.006436,0.006436,0.006436
56,20846.5,0.77717,0.47357,0.9819,0.8627,0.75602,0.8274,0.61669,0.96177,0.57859,0.97651,0.00637,0.00637,0.00637
57,21219.6,0.7686,0.46358,0.97675,0.86654,0.75416,0.82696,0.61612,0.96209,0.57245,0.97675,0.006304,0.006304,0.006304
58,21589.8,0.76834,0.46158,0.9764,0.85928,0.75891,0.8265,0.61675,0.96159,0.58336,0.97622,0.006238,0.006238,0.006238
59,21960.5,0.76604,0.46364,0.97602,0.85113,0.76218,0.8274,0.61849,0.96024,0.58567,0.97597,0.006172,0.006172,0.006172
60,22332.3,0.76051,0.45894,0.97673,0.86665,0.75551,0.8282,0.61899,0.9587,0.58481,0.97631,0.006106,0.006106,0.006106
61,22704,0.76586,0.4609,0.97676,0.86767,0.75921,0.83164,0.62066,0.95921,0.57897,0.9757,0.00604,0.00604,0.00604
62,23075.9,0.76286,0.45613,0.97721,0.86709,0.7609,0.83155,0.62122,0.95926,0.58327,0.97497,0.005974,0.005974,0.005974
63,23448.1,0.74629,0.44779,0.97103,0.86758,0.75772,0.83001,0.62057,0.958,0.58759,0.97524,0.005908,0.005908,0.005908
64,23818.9,0.75344,0.44855,0.96978,0.8701,0.75477,0.8303,0.62111,0.9576,0.57935,0.97404,0.005842,0.005842,0.005842
65,24188.9,0.74798,0.44751,0.9675,0.87025,0.75649,0.83113,0.62266,0.95766,0.57853,0.97427,0.005776,0.005776,0.005776
66,24560.6,0.75376,0.44394,0.9674,0.86352,0.76093,0.83193,0.62388,0.9573,0.57597,0.97375,0.00571,0.00571,0.00571
67,24931.8,0.74429,0.44397,0.96748,0.87045,0.75748,0.832,0.62433,0.95691,0.57516,0.97391,0.005644,0.005644,0.005644
68,25303.8,0.74525,0.44192,0.96211,0.86274,0.76316,0.83206,0.62503,0.95706,0.56946,0.97361,0.005578,0.005578,0.005578
69,25676.5,0.73997,0.43941,0.96128,0.86153,0.76336,0.83206,0.62504,0.95658,0.56968,0.97343,0.005512,0.005512,0.005512
70,26049.1,0.73993,0.4356,0.96391,0.86485,0.76451,0.8319,0.62532,0.95616,0.57144,0.97333,0.005446,0.005446,0.005446
71,26421.6,0.7382,0.43274,0.9609,0.86888,0.76081,0.83206,0.62586,0.95594,0.57436,0.97251,0.00538,0.00538,0.00538
72,26794.3,0.7335,0.43025,0.95716,0.86862,0.76269,0.83321,0.62699,0.95516,0.57225,0.97153,0.005314,0.005314,0.005314
73,27165.9,0.73525,0.43322,0.96316,0.86553,0.76652,0.83334,0.62711,0.95525,0.5743,0.97176,0.005248,0.005248,0.005248
74,27537.5,0.72552,0.42479,0.95655,0.8683,0.76271,0.83296,0.6274,0.95471,0.57521,0.97208,0.005182,0.005182,0.005182
75,27909.2,0.7274,0.42233,0.9539,0.86501,0.76713,0.83346,0.62791,0.95427,0.57373,0.97225,0.005116,0.005116,0.005116
76,28280.6,0.72472,0.42032,0.95684,0.8632,0.76829,0.83312,0.62744,0.95379,0.5741,0.97233,0.00505,0.00505,0.00505
77,28651.1,0.72415,0.4211,0.9564,0.87055,0.76247,0.83339,0.62825,0.95347,0.56871,0.97249,0.004984,0.004984,0.004984
78,29023.3,0.72121,0.42071,0.95635,0.86269,0.76967,0.83417,0.62914,0.95298,0.56538,0.97214,0.004918,0.004918,0.004918
79,29394.9,0.72023,0.41583,0.95269,0.86603,0.76723,0.83416,0.62907,0.95363,0.567,0.97253,0.004852,0.004852,0.004852
80,29764.8,0.70786,0.41348,0.95158,0.86466,0.76882,0.834,0.62903,0.9534,0.56707,0.97262,0.004786,0.004786,0.004786
81,30134.6,0.71406,0.41191,0.94863,0.86497,0.76876,0.83381,0.62933,0.9531,0.56754,0.97247,0.00472,0.00472,0.00472
82,30506.4,0.71107,0.41297,0.94944,0.8686,0.76823,0.83444,0.62955,0.95308,0.56746,0.97204,0.004654,0.004654,0.004654
83,30878,0.70264,0.40533,0.94474,0.86476,0.76957,0.83442,0.62964,0.95289,0.56759,0.97255,0.004588,0.004588,0.004588
84,31249.9,0.7066,0.40226,0.94594,0.86557,0.76834,0.83493,0.63024,0.95273,0.56741,0.97276,0.004522,0.004522,0.004522
