epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18401.3,0.83627,0.54944,1.02631,0.84557,0.71193,0.78876,0.58107,0.96721,0.60898,0.99203,0.007228,0.007228,0.007228
44,18827.9,0.8288,0.54338,1.03003,0.83807,0.71513,0.78759,0.58019,0.96406,0.6022,0.99015,0.007162,0.007162,0.007162
45,19252.2,0.8216,0.54308,1.03242,0.8446,0.7188,0.79198,0.58345,0.96455,0.60264,0.99076,0.007096,0.007096,0.007096
46,19678.5,0.83034,0.53681,1.02923,0.84546,0.72369,0.79354,0.58503,0.96448,0.61059,0.99315,0.00703,0.00703,0.00703
47,20104,0.82557,0.54133,1.02958,0.84529,0.72501,0.79655,0.58808,0.96287,0.60282,0.99039,0.006964,0.006964,0.006964
48,20528.9,0.81887,0.52937,1.02318,0.84387,0.72937,0.80062,0.59104,0.95734,0.59906,0.98855,0.006898,0.006898,0.006898
49,20953.5,0.82464,0.53067,1.02196,0.84992,0.72646,0.799,0.59064,0.95598,0.5948,0.98771,0.006832,0.006832,0.006832
50,21378.1,0.81291,0.52081,1.0202,0.83402,0.73629,0.80139,0.59291,0.95437,0.58914,0.98549,0.006766,0.006766,0.006766
51,21804.7,0.81573,0.52566,1.02508,0.84531,0.72941,0.80074,0.59336,0.95613,0.58948,0.99102,0.0067,0.0067,0.0067
52,22231.9,0.81554,0.52019,1.01567,0.84843,0.73305,0.80278,0.59417,0.95619,0.58982,0.98856,0.006634,0.006634,0.006634
53,22656.4,0.80922,0.51662,1.02213,0.84812,0.73651,0.80435,0.59661,0.95526,0.58585,0.99146,0.006568,0.006568,0.006568
54,23081.5,0.80914,0.51535,1.01807,0.85367,0.72839,0.80356,0.59743,0.95248,0.58489,0.98801,0.006502,0.006502,0.006502
55,23506.5,0.80837,0.51297,1.01623,0.84463,0.73516,0.80434,0.59782,0.95098,0.58437,0.98632,0.006436,0.006436,0.006436
56,23930.6,0.79858,0.50776,1.01287,0.84081,0.74177,0.80756,0.60054,0.9506,0.58631,0.98586,0.00637,0.00637,0.00637
57,24355.3,0.79653,0.50287,1.01245,0.84203,0.74324,0.80851,0.60183,0.94836,0.5833,0.98471,0.006304,0.006304,0.006304
58,24781.5,0.80466,0.50258,1.0115,0.84566,0.74362,0.80936,0.60282,0.94818,0.58996,0.9843,0.006238,0.006238,0.006238
59,25207.2,0.78873,0.49773,1.00916,0.85226,0.74051,0.81153,0.60379,0.94991,0.59221,0.98596,0.006172,0.006172,0.006172
60,25633.3,0.78991,0.49298,1.00742,0.85523,0.73553,0.81153,0.60435,0.94935,0.58493,0.98527,0.006106,0.006106,0.006106
61,26058.3,0.78633,0.49336,1.00893,0.84969,0.73772,0.81103,0.6051,0.94642,0.58097,0.98578,0.00604,0.00604,0.00604
62,26482.8,0.79539,0.48972,1.00678,0.85265,0.74029,0.81285,0.60693,0.94583,0.57702,0.98385,0.005974,0.005974,0.005974
63,26907,0.78246,0.4859,1.00592,0.85129,0.74188,0.81315,0.60756,0.94337,0.5766,0.98397,0.005908,0.005908,0.005908
64,27331.5,0.78166,0.4819,1.0056,0.84964,0.74716,0.81356,0.60737,0.94343,0.57478,0.98489,0.005842,0.005842,0.005842
65,27754.9,0.77529,0.48224,1.00234,0.85337,0.7437,0.81442,0.60831,0.94224,0.5748,0.98355,0.005776,0.005776,0.005776
66,28179.7,0.77255,0.47686,0.99927,0.84937,0.74977,0.81643,0.61073,0.94171,0.57093,0.98245,0.00571,0.00571,0.00571
67,28604.7,0.7795,0.47118,0.99345,0.84791,0.7482,0.8154,0.60987,0.94185,0.57913,0.98124,0.005644,0.005644,0.005644
68,29028.4,0.76683,0.46742,0.99334,0.85146,0.74571,0.81586,0.6105,0.94085,0.57962,0.98127,0.005578,0.005578,0.005578
69,29452,0.77185,0.46977,0.99561,0.84789,0.75109,0.8173,0.61155,0.94034,0.57591,0.98087,0.005512,0.005512,0.005512
70,29876.2,0.7665,0.46583,0.99224,0.84887,0.75047,0.81813,0.61308,0.93969,0.57144,0.98053,0.005446,0.005446,0.005446
71,30301.2,0.76972,0.46472,0.99527,0.84616,0.75312,0.81744,0.61204,0.93967,0.57378,0.9813,0.00538,0.00538,0.00538
72,30724.1,0.7594,0.462,0.99418,0.85623,0.74687,0.81814,0.61295,0.94,0.57351,0.98239,0.005314,0.005314,0.005314
